Product ID,Quantity,Simple Name,Set Name,Card Number
676102,1,Mega Dragonite ex,ME: Ascended Heroes,290/217
642546,1,Victini,SV: Black Bolt,171/086
642623,1,Zekrom ex,SV: Black Bolt,172/086
589891,1,Ceruledge,SV08: Surging Sparks,197/191
523867,1,Magby,SV04: Paradox Rift,186/182
642301,1,Emboar (Master Ball Pattern),SV: White Flare,013/086
623609,1,Volcanion ex,SV09: Journey Together,182/159
497602,1,Fletchinder,SV02: Paldea Evolved,199/193
497605,1,Crocalor,SV02: Paldea Evolved,202/193
654477,1,Vulpix,ME01: Mega Evolution,138/132
534504,1,Slowpoke,SV: Paldean Fates,116/091
642218,1,Dewott,SV: White Flare,106/086
497608,1,Eiscue,SV02: Paldea Evolved,205/193
497609,1,Quaxly,SV02: Paldea Evolved,206/193
642562,1,Cubchoo,SV: Black Bolt,109/086
534507,1,Slowbro,SV: Paldean Fates,117/091
497612,1,Arctibax,SV02: Paldea Evolved,209/193
676030,1,Erika's Tangela,ME: Ascended Heroes,218/217
610500,1,Teal Mask Ogerpon ex,SV: Prismatic Evolutions,145/131
642627,1,Simisage (Master Ball Pattern),SV: Black Bolt,005/086
497600,1,Floragato,SV02: Paldea Evolved,197/193
642206,1,Deerling,SV: White Flare,091/086
534528,1,Shinx,SV: Paldean Fates,135/091
642567,1,Eelektrik,SV: Black Bolt,114/086
642565,1,Emolga,SV: Black Bolt,112/086
490068,1,Pachirisu,SV01: Scarlet & Violet Base Set,208/198
642229,1,Galvantula,SV: White Flare,117/086
523928,1,Tapu Koko ex,SV04: Paradox Rift,247/182
642653,1,Emolga (Master Ball Pattern),SV: Black Bolt,029/086
684415,1,Clefairy,ME03: Perfect Order,094/088
523930,1,Iron Valiant ex,SV04: Paradox Rift,249/182
490073,1,Greavard,SV01: Scarlet & Violet Base Set,214/198
567435,1,Milcery,SV07: Stellar Crown,152/142
642570,1,Munna,SV: Black Bolt,116/086
642237,1,Gothorita,SV: White Flare,125/086
517029,1,Nidoking,SV: Scarlet & Violet 151,174/165
642677,1,Scolipede (Master Ball Pattern),SV: Black Bolt,056/086
642251,1,Scraggy,SV: White Flare,138/086
560406,1,Pecharunt ex,SV: Shrouded Fable,095/064
642254,1,Garbodor,SV: White Flare,141/086
560401,1,Okidogi ex,SV: Shrouded Fable,090/064
642580,1,Timburr,SV: Black Bolt,125/086
642242,1,Gigalith,SV: White Flare,129/086
642243,1,Sawk,SV: White Flare,130/086
497621,1,Paldean Tauros,SV02: Paldea Evolved,218/193
654485,1,Marshadow,ME01: Mega Evolution,146/132
560385,1,Okidogi,SV: Shrouded Fable,074/064
642352,1,Durant (Master Ball Pattern),SV: White Flare,070/086
642260,1,Ferrothorn,SV: White Flare,149/086
642595,1,Escavalier,SV: Black Bolt,138/086
509952,1,Scizor,SV03: Obsidian Flames,205/197
560387,1,Cufant,SV: Shrouded Fable,076/064
642686,1,Cobalion (Master Ball Pattern),SV: Black Bolt,066/086
589869,1,Archaludon ex,SV08: Surging Sparks,241/191
490064,2,Slowpoke,SV01: Scarlet & Violet Base Set,204/198
497678,1,Chi-Yu ex,SV02: Paldea Evolved,259/193
517034,1,Poliwhirl,SV: Scarlet & Violet 151,176/165
509945,1,Ninetales -199/197,SV03: Obsidian Flames,199/197
523874,1,Plusle,SV04: Paradox Rift,193/182
527988,1,Blastoise,Trading Card Game Classic,003/034
534683,2,Mimikyu -160/091,SV: Paldean Fates,160/091
542927,1,Iron Crown ex,SV05: Temporal Forces,206/162
550260,1,Bloodmoon Ursaluna ex,SV06: Twilight Masquerade,216/167
560377,1,Houndoom,SV: Shrouded Fable,066/064
567478,1,Terapagos ex,SV07: Stellar Crown,170/142
589967,1,Hydreigon ex,SV08: Surging Sparks,240/191
610519,2,Gholdengo ex,SV: Prismatic Evolutions,164/131
623612,1,N's Zoroark ex,SV09: Journey Together,185/159
632994,1,Misty's Lapras,SV10: Destined Rivals,194/182
642250,1,Liepard,SV: White Flare,137/086
642553,1,Volcarona,SV: Black Bolt,100/086
654499,1,Mega Lucario ex,ME01: Mega Evolution,160/132
662183,2,Mega Charizard X ex,ME02: Phantasmal Flames,109/094
676083,1,Mega Dragonite ex,ME: Ascended Heroes,271/217
684362,1,Mega Starmie ex,ME03: Perfect Order,118/088
693510,1,Mega Dragalge ex,ME04: Chaos Rising,118/086
696676,1,Greninja ex,ME: 30th Celebration,021/128
490074,1,Riolu,SV01: Scarlet & Violet Base Set,215/198
497613,2,Baxcalibur,SV02: Paldea Evolved,210/193
517020,1,Dragonair,SV: Scarlet & Violet 151,181/165
509949,1,Cleffa,SV03: Obsidian Flames,202/197
523887,1,Morpeko,SV04: Paradox Rift,206/182
527943,1,Pikachu,Trading Card Game Classic,008/034
535191,1,Ditto,SV: Paldean Fates,201/091
542925,2,Gouging Fire ex,SV05: Temporal Forces,204/162
550254,1,Sinistcha ex,SV06: Twilight Masquerade,210/167
560378,1,Horsea,SV: Shrouded Fable,067/064
567472,1,Hydrapple ex,SV07: Stellar Crown,167/142
589930,1,Durant ex,SV08: Surging Sparks,236/191
610506,1,Palafin ex,SV: Prismatic Evolutions,151/131
623610,2,Iono's Bellibolt ex,SV09: Journey Together,183/159
632990,1,Ethan's Typhlosion,SV10: Destined Rivals,190/182
642255,1,Zorua,SV: White Flare,142/086
642616,1,Serperior ex,SV: Black Bolt,164/086
654489,1,Steelix,ME01: Mega Evolution,150/132
662195,1,Meowth,ME02: Phantasmal Flames,106/094
676090,2,Mega Eelektross ex,ME: Ascended Heroes,278/217
684341,1,Meowth ex,ME03: Perfect Order,107/088
693513,1,Mega Floette ex,ME04: Chaos Rising,117/086
696677,1,Sylveon ex,ME: 30th Celebration,071/128
485259,1,Miraidon ex,SV01: Scarlet & Violet Base Set,244/198
497615,1,Mismagius,SV02: Paldea Evolved,212/193
519481,2,Mew ex,SV: Scarlet & Violet 151,205/165
509944,1,Gloom,SV03: Obsidian Flames,198/197
523875,1,Minun,SV04: Paradox Rift,194/182
527885,1,Venusaur,Trading Card Game Classic,003/034
534753,1,Lucario,SV: Paldean Fates,174/091
542887,1,Sawsbuck,SV05: Temporal Forces,166/162
550225,2,Hisuian Growlithe,SV06: Twilight Masquerade,181/167
560380,1,Dusclops,SV: Shrouded Fable,069/064
567474,1,Galvantula ex,SV07: Stellar Crown,168/142
589987,1,Latios,SV08: Surging Sparks,203/191
610653,1,Vaporeon (Master Ball Pattern),SV: Prismatic Evolutions,022/131
623613,1,Hop's Zacian ex,SV09: Journey Together,186/159
633003,2,Team Rocket's Meowth,SV10: Destined Rivals,203/182
642219,1,Samurott,SV: White Flare,107/086
642545,1,Amoonguss,SV: Black Bolt,096/086
654493,1,Stufful,ME01: Mega Evolution,154/132
662193,1,Mega Sharpedo ex,ME02: Phantasmal Flames,127/094
676050,1,Team Rocket's Mimikyu,ME: Ascended Heroes,238/217
684361,2,Mega Starmie ex,ME03: Perfect Order,102/088
693516,1,Mega Greninja ex,ME04: Chaos Rising,100/086
696678,1,Espeon,ME: 30th Celebration,069/128
490067,1,Wiglett,SV01: Scarlet & Violet Base Set,206/198
497675,1,Meowscarada ex,SV02: Paldea Evolved,256/193
517025,1,Machoke,SV: Scarlet & Violet 151,177/165
509983,2,Pidgeot ex,SV03: Obsidian Flames,225/197
523932,1,Roaring Moon ex,SV04: Paradox Rift,251/182
528002,1,Mewtwo,Trading Card Game Classic,014/034
535215,1,Maushold,SV: Paldean Fates,210/091
542926,1,Walking Wake ex,SV05: Temporal Forces,205/162
550255,1,Teal Mask Ogerpon ex,SV06: Twilight Masquerade,211/167
560403,2,Fezandipiti ex,SV: Shrouded Fable,092/064
567439,1,Gulpin,SV07: Stellar Crown,154/142
589860,1,Alolan Exeggutor ex,SV08: Surging Sparks,242/191
